Nombre de bits,Nombre de bits à 1,Rang dans la sous famille,Position du bit,Valeur
5, 0, 1, 5, 0
6, 3, 1, 2, 0
11, 0, 1, 10, 0
10, 9, 1, 5, 1
9, 8, 1, 8, 1
8, 1, 8, 3, 0
2, 0, 1, 2, 0
8, 6, 6, 8, 1
13, 10, 150, 8, 1
4, 3, 2, 2, 0
14, 10, 586, 6, 1
1, 1, 1, 1, 1
15, 13, 97, 9, 1
9, 6, 35, 4, 0
15, 1, 6, 7, 0
7, 0, 1, 7, 0
9, 5, 78, 9, 0
2, 1, 1, 2, 1
15, 7, 1243, 6, 1
2, 1, 1, 1, 0
10, 4, 19, 6, 0
2, 1, 2, 1, 1
3, 0, 1, 3, 0
8, 4, 59, 5, 1
14, 11, 23, 2, 1
2, 0, 1, 2, 0
8, 4, 37, 6, 0
15, 1, 5, 10, 0
13, 11, 31, 5, 1
16, 2, 63, 5, 1
14, 13, 13, 1, 1
12, 9, 79, 10, 1
5, 4, 1, 5, 1
14, 5, 1714, 2, 0
7, 7, 1, 5, 1
13, 0, 1, 11, 0
8, 6, 15, 1, 1
6, 1, 4, 2, 0
5, 1, 1, 5, 1
12, 10, 38, 7, 1
16, 1, 12, 6, 0
3, 1, 2, 3, 0
9, 5, 17, 7, 1
5, 2, 6, 3, 1
5, 3, 2, 3, 0
6, 0, 1, 6, 0
6, 4, 7, 3, 1
3, 2, 1, 1, 0
6, 3, 6, 6, 1
7, 3, 3, 5, 1
3, 1, 2, 3, 0
13, 2, 67, 13, 1
13, 2, 71, 3, 0
16, 5, 274, 4, 0
2, 0, 1, 2, 0
10, 1, 10, 5, 0
16, 10, 2321, 10, 1
6, 2, 9, 5, 0
4, 1, 1, 2, 0
3, 2, 3, 1, 1
14, 6, 1830, 12, 1
16, 5, 2136, 7, 1
6, 0, 1, 2, 0
8, 6, 10, 4, 1
5, 0, 1, 4, 0
2, 2, 1, 2, 1
9, 3, 74, 3, 1
2, 2, 1, 1, 1
13, 5, 1192, 13, 0
12, 11, 10, 9, 1
7, 3, 27, 3, 1
3, 0, 1, 2, 0
1, 1, 1, 1, 1
12, 7, 554, 10, 1
8, 7, 7, 7, 0
13, 0, 1, 3, 0
5, 5, 1, 4, 1
7, 6, 7, 1, 1
7, 7, 1, 7, 1
13, 9, 18, 12, 0
7, 6, 7, 4, 1
2, 1, 1, 1, 0
11, 2, 18, 7, 0
1, 0, 1, 1, 0
14, 10, 479, 11, 1
10, 4, 135, 4, 0
13, 6, 427, 6, 0
5, 1, 1, 4, 0
8, 2, 19, 7, 0
8, 5, 48, 5, 0
5, 2, 2, 4, 0
1, 0, 1, 1, 0
5, 4, 4, 1, 1
5, 5, 1, 3, 1
14, 1, 12, 8, 0
6, 5, 5, 1, 1
8, 5, 56, 2, 1
9, 1, 4, 8, 0
3, 0, 1, 2, 0
11, 1, 7, 5, 1
4, 1, 4, 4, 0
10, 5, 192, 6, 0
4, 3, 2, 4, 1
8, 8, 1, 3, 1
2, 0, 1, 1, 0
16, 3, 488, 16, 0
14, 7, 1471, 1, 0
2, 1, 1, 2, 1
5, 3, 10, 3, 1
2, 1, 1, 1, 0
11, 1, 1, 4, 0
4, 4, 1, 1, 1
5, 4, 2, 2, 0
1, 1, 1, 1, 1
13, 10, 273, 11, 1
5, 4, 2, 5, 1
11, 10, 4, 4, 0
3, 0, 1, 3, 0
15, 13, 34, 3, 0
12, 0, 1, 4, 0
13, 12, 8, 5, 1
14, 10, 688, 10, 0
11, 2, 29, 2, 0
3, 3, 1, 1, 1
5, 0, 1, 1, 0
7, 7, 1, 5, 1
12, 11, 4, 10, 1
16, 7, 4059, 3, 0
3, 2, 2, 3, 1
13, 3, 158, 12, 1
6, 6, 1, 4, 1
5, 4, 5, 3, 1
12, 12, 1, 11, 1
12, 3, 67, 12, 1
16, 8, 5432, 9, 1
8, 6, 4, 4, 1
10, 9, 10, 9, 1
5, 4, 1, 1, 0
2, 0, 1, 2, 0
16, 6, 1807, 6, 0
11, 4, 246, 6, 0
3, 3, 1, 3, 1
9, 3, 67, 7, 0
2, 1, 1, 2, 1
6, 4, 8, 5, 0
4, 4, 1, 4, 1
12, 8, 345, 10, 1
12, 11, 12, 1, 1
7, 4, 29, 4, 1
1, 1, 1, 1, 1
14, 8, 1808, 8, 0
2, 0, 1, 2, 0
7, 0, 1, 5, 0
4, 2, 3, 3, 1
9, 4, 47, 5, 0
11, 10, 9, 5, 1
16, 14, 117, 14, 1
2, 0, 1, 1, 0
2, 0, 1, 1, 0
5, 4, 1, 4, 1
11, 11, 1, 6, 1
8, 8, 1, 2, 1
2, 1, 2, 1, 1
12, 2, 55, 6, 0
1, 0, 1, 1, 0
13, 3, 66, 6, 0
9, 2, 2, 6, 0
16, 5, 3667, 12, 0
5, 2, 5, 1, 0
6, 4, 15, 2, 1
13, 3, 278, 11, 1
9, 3, 74, 4, 0
5, 0, 1, 3, 0
2, 2, 1, 1, 1
9, 8, 5, 8, 1
3, 3, 1, 1, 1
5, 3, 4, 4, 1
2, 1, 1, 1, 0
15, 6, 1978, 9, 0
8, 6, 28, 3, 1
5, 5, 1, 3, 1
6, 5, 2, 1, 1
6, 5, 4, 3, 1
7, 7, 1, 4, 1
15, 6, 596, 7, 0
2, 0, 1, 1, 0
13, 12, 3, 12, 1
2, 2, 1, 1, 1
14, 5, 1143, 5, 0
1, 0, 1, 1, 0
5, 1, 4, 1, 0
5, 2, 5, 4, 1
7, 6, 5, 4, 1
9, 5, 79, 9, 1
3, 2, 1, 2, 1
16, 0, 1, 1, 0
14, 7, 2921, 13, 0
4, 2, 2, 4, 1
10, 6, 192, 5, 1
16, 13, 512, 10, 1
11, 7, 280, 8, 0
8, 2, 19, 1, 0
10, 9, 4, 5, 1
7, 2, 1, 2, 0
6, 1, 5, 5, 0
16, 13, 44, 10, 0
6, 6, 1, 1, 1
4, 4, 1, 4, 1
11, 2, 17, 10, 1
6, 3, 1, 1, 0
9, 8, 8, 6, 1
5, 3, 10, 3, 1
11, 2, 26, 11, 0
3, 2, 1, 1, 0
8, 2, 2, 8, 1
11, 6, 209, 2, 1
16, 0, 1, 6, 0
16, 0, 1, 9, 0
13, 4, 242, 10, 0
14, 12, 79, 6, 1
14, 10, 186, 1, 0
3, 2, 2, 2, 0
7, 0, 1, 4, 0
10, 10, 1, 4, 1
16, 14, 27, 7, 1
12, 1, 12, 12, 0
8, 1, 5, 6, 0
4, 0, 1, 3, 0
7, 5, 18, 6, 1
13, 10, 124, 3, 0
10, 2, 23, 7, 0
13, 6, 1711, 2, 1
1, 1, 1, 1, 1
11, 1, 11, 6, 0
16, 3, 302, 15, 0
7, 2, 17, 5, 0
9, 6, 3, 6, 1
11, 2, 37, 9, 0
13, 0, 1, 10, 0
7, 5, 10, 1, 1
2, 0, 1, 1, 0
4, 0, 1, 1, 0
2, 2, 1, 1, 1
2, 2, 1, 1, 1
2, 2, 1, 1, 1
7, 3, 15, 4, 1
7, 2, 6, 1, 0
12, 2, 30, 9, 0
1, 1, 1, 1, 1
8, 6, 23, 7, 1
9, 7, 13, 1, 1
10, 9, 2, 3, 1
4, 1, 3, 2, 1
14, 11, 348, 14, 0
15, 12, 29, 14, 1
10, 9, 10, 7, 1
2, 1, 2, 1, 1
8, 3, 12, 5, 0
7, 6, 5, 3, 1
14, 13, 6, 7, 1
4, 1, 2, 4, 0
14, 11, 114, 5, 1
3, 2, 3, 2, 1
9, 4, 121, 1, 1
1, 0, 1, 1, 0
10, 1, 3, 9, 0
4, 0, 1, 3, 0
10, 5, 117, 4, 1
9, 4, 27, 1, 0
9, 8, 3, 7, 1
1, 1, 1, 1, 1
9, 1, 1, 8, 0
15, 10, 2763, 13, 1
10, 0, 1, 7, 0
6, 1, 3, 1, 0
14, 6, 431, 14, 0
16, 15, 15, 3, 1
6, 5, 6, 5, 1
13, 7, 735, 5, 0
9, 6, 35, 8, 1
13, 1, 1, 6, 0
6, 1, 6, 2, 0
10, 6, 108, 1, 1
16, 12, 1503, 1, 1
5, 0, 1, 4, 0
4, 3, 3, 3, 0
1, 0, 1, 1, 0
14, 9, 310, 12, 1
11, 9, 37, 2, 1
4, 2, 6, 4, 0
12, 12, 1, 11, 1
15, 10, 544, 2, 1
3, 1, 3, 1, 1
9, 1, 6, 5, 0
9, 3, 57, 6, 0
1, 0, 1, 1, 0
14, 8, 1843, 4, 1
7, 5, 12, 6, 1
2, 1, 2, 1, 1
16, 11, 3781, 15, 1
6, 3, 1, 5, 1
1, 1, 1, 1, 1
2, 2, 1, 2, 1
1, 0, 1, 1, 0
3, 1, 2, 1, 0
11, 7, 222, 10, 1
13, 10, 44, 12, 0
7, 0, 1, 7, 0
5, 2, 9, 5, 0
6, 2, 6, 3, 1
3, 3, 1, 2, 1
15, 15, 1, 12, 1
3, 3, 1, 3, 1
1, 1, 1, 1, 1
6, 6, 1, 3, 1
4, 2, 6, 1, 1
5, 0, 1, 4, 0
15, 1, 1, 13, 0
7, 3, 19, 6, 0
15, 8, 4024, 5, 1
4, 2, 2, 3, 0
6, 2, 7, 6, 1
7, 5, 9, 5, 0
6, 6, 1, 3, 1
1, 1, 1, 1, 1
8, 4, 47, 8, 1
5, 0, 1, 4, 0
10, 5, 149, 2, 0
13, 9, 475, 7, 0
4, 4, 1, 4, 1
9, 8, 4, 1, 1
1, 1, 1, 1, 1
14, 13, 6, 10, 1
16, 12, 1228, 12, 1
14, 0, 1, 2, 0
14, 6, 1912, 2, 0
7, 1, 2, 7, 0
2, 1, 2, 2, 0
16, 5, 1938, 9, 1
15, 1, 2, 14, 1
15, 7, 6041, 12, 0
15, 11, 978, 8, 1
4, 4, 1, 1, 1
16, 2, 12, 2, 0
1, 1, 1, 1, 1
14, 14, 1, 11, 1
15, 4, 361, 12, 0
10, 4, 37, 7, 1
4, 1, 4, 3, 0
4, 3, 3, 1, 1
7, 2, 19, 1, 1
1, 0, 1, 1, 0
8, 1, 7, 5, 0
5, 4, 1, 4, 1
2, 1, 2, 1, 1
2, 2, 1, 1, 1
6, 5, 3, 5, 1
1, 1, 1, 1, 1
13, 4, 329, 7, 1
8, 5, 43, 8, 0
8, 6, 6, 4, 1
5, 4, 1, 2, 1
9, 7, 7, 7, 1
16, 16, 1, 11, 1
5, 3, 5, 4, 1
10, 0, 1, 4, 0
6, 2, 15, 4, 0
6, 1, 5, 2, 1
9, 0, 1, 5, 0
1, 0, 1, 1, 0
12, 11, 10, 11, 1
13, 12, 5, 12, 1
4, 0, 1, 1, 0
9, 6, 14, 2, 1
15, 8, 245, 11, 1
15, 9, 1088, 6, 1
5, 3, 6, 2, 0
3, 2, 1, 3, 1
1, 0, 1, 1, 0
16, 3, 169, 13, 1
7, 0, 1, 5, 0
14, 0, 1, 13, 0
9, 4, 63, 4, 0
3, 0, 1, 1, 0
1, 0, 1, 1, 0
1, 0, 1, 1, 0
2, 1, 1, 2, 1
4, 0, 1, 2, 0
8, 8, 1, 1, 1
15, 1, 8, 5, 0
9, 8, 6, 2, 1
16, 0, 1, 15, 0
6, 3, 4, 6, 0
9, 5, 71, 2, 0
15, 0, 1, 9, 0
1, 0, 1, 1, 0
15, 13, 69, 7, 1
16, 0, 1, 7, 0
11, 4, 126, 1, 0
6, 1, 3, 1, 0
15, 14, 15, 4, 1
11, 4, 251, 4, 1
3, 1, 2, 1, 0
12, 12, 1, 2, 1
4, 2, 4, 4, 1
4, 1, 4, 1, 1
16, 3, 481, 9, 1
6, 6, 1, 3, 1
4, 0, 1, 1, 0
9, 4, 12, 7, 1
12, 1, 3, 11, 0
2, 1, 2, 2, 0
4, 4, 1, 2, 1
3, 1, 2, 2, 1
14, 14, 1, 14, 1
16, 13, 450, 2, 1
12, 9, 41, 1, 0
14, 14, 1, 2, 1
7, 3, 20, 6, 0
8, 5, 11, 6, 1
14, 9, 1830, 10, 1
6, 5, 5, 2, 1
13, 5, 468, 12, 1
10, 6, 101, 6, 1
6, 6, 1, 6, 1
7, 2, 8, 5, 0
1, 1, 1, 1, 1
4, 0, 1, 4, 0
15, 7, 500, 3, 0
13, 5, 886, 13, 1
15, 10, 2391, 4, 0
15, 12, 444, 15, 0
6, 1, 6, 1, 1
